userid,number_of_courses_x,average_marks,average_login,weekend_login,weekday_login,midnight_login,early_morning_login,late_morning_login,afternoon_login,evening_login,night_login,no_of_viewed_courses,no_of_attendance_taken,no_of_all_files_downloaded,no_of_assignments,no_of_forum_created,number_of_quizzes,no_of_quizzes_completed,no_of_quizzes_attempt,number_of_courses_y,total_marks,num_days_active,total_events,num_unique_courses_accessed,num_forum_posts,num_resource_views
25068,6.0,63.96666666666667,6.833333333333333,2.5,4.333333333333333,1.3333333333333333,1.6666666666666667,1.0,2.0,0.5,0.3333333333333333,30.166666666666668,0.0,0.0,2.333333333333333,0.0,0.0,0.0,0.0,6.0,383.8,26.0,363.0,6.0,0.0,54.0
25070,8.0,57.05,35.625,6.875,28.75,9.875,7.375,8.375,9.625,0.25,0.125,193.375,0.0,0.0,0.5,0.0,10.625,1.125,38.0,8.0,456.4,112.0,2355.0,9.0,0.0,372.0
25071,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,7.0,1.0,0.0,0.0
25072,2.0,0.0,13.5,5.5,8.0,3.0,0.5,2.0,7.0,0.5,0.5,27.5,0.0,3.5,0.0,0.0,0.0,0.0,0.0,2.0,0.0,25.0,112.0,1.0,0.0,4.0
25073,2.0,0.0,8.0,2.5,5.5,3.5,2.0,1.0,1.5,0.0,0.0,26.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,12.0,110.0,2.0,0.0,20.0
25074,2.0,0.0,4.5,1.0,3.5,3.0,1.5,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,4.0,12.0,1.0,0.0,1.0
25075,4.0,56.9875,32.25,16.5,15.75,13.75,8.25,3.5,5.0,1.75,0.0,137.0,0.0,0.0,5.75,0.0,0.0,0.0,0.0,4.0,227.95,57.0,925.0,4.0,0.0,211.0
25076,6.0,54.155,23.666666666666668,3.5,20.166666666666668,1.1666666666666667,6.0,7.5,6.833333333333333,1.6666666666666667,0.5,105.5,0.0,0.0,1.0,0.0,0.5,0.0,0.0,6.0,324.92999999999995,65.0,839.0,8.0,0.0,233.0
25077,2.0,76.5,14.0,2.0,12.0,3.0,2.5,5.0,2.5,0.5,0.5,62.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,153.0,20.0,249.0,2.0,0.0,43.0
25081,2.0,0.0,10.0,0.0,10.0,8.5,1.5,0.0,0.0,0.0,0.0,21.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,16.0,113.0,1.0,0.0,83.0
25083,2.0,68.0,67.0,19.0,48.0,15.5,15.0,8.0,24.5,3.0,1.0,252.5,0.0,0.0,1.5,0.0,0.0,0.0,0.0,2.0,136.0,73.0,902.0,2.0,0.0,91.0
25084,2.0,0.0,18.5,3.5,15.0,5.0,6.0,3.0,4.5,0.0,0.0,200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,27.0,773.0,5.0,0.0,202.0
25085,3.0,82.22333333333334,16.333333333333332,3.333333333333333,13.0,5.0,5.0,1.0,4.0,0.6666666666666666,0.6666666666666666,66.33333333333333,0.0,0.0,2.6666666666666665,0.6666666666666666,0.0,0.0,0.0,3.0,246.67,33.0,452.0,3.0,16.0,32.0
25086,2.0,80.5,3.5,0.5,3.0,1.0,1.0,0.0,0.0,1.5,0.0,14.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,2.0,161.0,6.0,63.0,2.0,0.0,0.0
25087,2.0,0.0,13.5,1.5,12.0,6.5,2.5,1.5,2.5,0.0,0.5,50.0,0.0,0.0,2.5,0.5,0.0,0.0,0.0,2.0,0.0,21.0,178.0,2.0,3.0,13.0
25089,5.0,61.29,38.6,11.4,27.2,8.2,13.6,8.4,7.6,0.4,0.4,157.8,0.0,0.4,3.6,1.2,0.0,0.0,0.0,5.0,306.45,73.0,1205.0,7.0,14.0,332.0
25090,4.0,19.5,8.5,2.75,5.75,2.0,1.25,3.75,1.5,0.0,0.0,37.25,0.0,0.0,1.0,1.0,0.0,0.0,0.0,4.0,78.0,24.0,308.0,3.0,8.0,57.0
25091,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,50.60057043650794,752.6924603174604,6.047991071428571,2.7900545634920637,195.43470982142858
25092,2.0,71.0,40.5,9.0,31.5,8.5,13.0,5.0,6.0,4.0,4.0,162.5,0.0,0.0,3.0,7.5,0.0,0.0,0.0,2.0,142.0,44.0,742.0,3.0,31.0,111.0
25095,7.0,73.28571428571429,0.8571428571428571,0.1428571428571428,0.7142857142857143,0.0,0.0,0.1428571428571428,0.7142857142857143,0.0,0.0,2.571428571428572,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,513.0,50.60057043650794,752.6924603174604,6.047991071428571,2.7900545634920637,195.43470982142858
25097,8.0,55.1175,42.5,6.125,36.375,14.125,10.0,6.25,11.625,0.375,0.125,199.375,0.0,0.0,0.375,0.0,7.625,1.5,25.5,8.0,440.94,93.0,2317.0,9.0,0.0,655.0
25100,4.0,77.08500000000001,0.75,0.0,0.75,0.0,0.0,0.0,0.5,0.25,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,308.34000000000003,50.60057043650794,752.6924603174604,6.047991071428571,2.7900545634920637,195.43470982142858
25102,5.0,66.232,41.2,6.0,35.2,12.2,15.2,5.8,7.4,0.6,0.0,160.0,0.0,1.6,2.8,0.0,1.8,0.2,0.2,5.0,331.16,83.0,1168.0,5.0,0.0,373.0
25104,8.0,80.2875,37.25,8.375,28.875,8.25,12.875,7.0,7.375,1.5,0.25,140.25,0.0,0.25,1.75,0.125,13.375,3.5,19.125,8.0,642.3,98.0,2041.0,9.0,5.0,518.0
25105,7.0,78.85714285714286,0.7142857142857143,0.0,0.7142857142857143,0.0,0.0,0.5714285714285714,0.1428571428571428,0.0,0.0,0.8571428571428571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,552.0,50.60057043650794,752.6924603174604,6.047991071428571,2.7900545634920637,195.43470982142858
25106,7.0,70.28571428571429,1.2857142857142858,0.1428571428571428,1.1428571428571428,0.0,0.1428571428571428,0.1428571428571428,0.2857142857142857,0.7142857142857143,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,492.0,50.60057043650794,752.6924603174604,6.047991071428571,2.7900545634920637,195.43470982142858
25107,6.0,51.50833333333333,118.33333333333331,20.5,97.83333333333331,34.833333333333336,24.166666666666668,15.5,36.333333333333336,4.833333333333333,2.6666666666666665,723.1666666666666,0.0,0.0,1.8333333333333333,0.0,10.333333333333334,0.6666666666666666,58.333333333333336,6.0,309.05,109.0,6096.0,9.0,7.0,1690.0
25109,8.0,51.9375,25.375,5.375,20.0,8.125,7.5,3.0,5.25,1.25,0.25,102.875,0.0,0.0,0.125,0.0,5.0,1.375,33.375,8.0,415.5,71.0,1529.0,8.0,1.0,454.0
25110,2.0,12.5,40.5,5.5,35.0,9.5,10.5,13.0,6.5,0.0,1.0,133.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,2.0,25.0,42.0,369.0,3.0,1.0,84.0
25111,2.0,70.5,42.0,10.0,32.0,17.0,9.0,6.5,7.5,0.0,2.0,995.0,0.0,0.5,2.5,0.0,0.0,0.0,0.0,2.0,141.0,87.0,1588.0,2.0,7.0,772.0
25112,3.0,81.0,16.0,0.6666666666666666,15.333333333333334,5.0,2.6666666666666665,2.0,6.0,0.3333333333333333,0.0,46.66666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,243.0,26.0,189.0,3.0,0.0,66.0
25113,4.0,40.25,28.0,5.25,22.75,3.25,5.25,7.0,12.0,0.5,0.0,147.5,0.0,0.0,4.0,0.0,0.0,0.0,0.0,4.0,161.0,58.0,926.0,5.0,2.0,253.0
25114,1.0,88.0,2.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,1.0,88.0,2.0,32.0,1.0,2.0,2.0
25115,2.0,84.0,35.0,6.0,29.0,8.0,6.5,3.5,12.0,5.0,0.0,132.5,4.0,0.0,2.5,0.0,0.0,0.0,0.0,2.0,168.0,46.0,411.0,2.0,0.0,115.0
25116,8.0,77.1875,14.375,3.875,10.5,4.625,4.5,1.75,3.25,0.125,0.125,61.625,0.0,0.0,0.5,0.0,0.5,0.0,0.0,8.0,617.5,58.0,804.0,10.0,0.0,357.0
25117,2.0,79.435,44.0,10.0,34.0,6.0,11.5,14.0,11.5,0.0,1.0,182.5,0.0,2.5,5.5,0.0,0.0,0.0,0.0,2.0,158.87,44.0,438.0,2.0,0.0,83.0
25118,3.0,24.03,10.666666666666666,1.6666666666666667,9.0,4.0,2.333333333333333,1.6666666666666667,2.6666666666666665,0.0,0.0,45.333333333333336,0.0,0.0,1.3333333333333333,0.0,0.0,0.0,0.0,3.0,72.09,20.0,242.0,2.0,0.0,76.0
25119,5.0,64.412,28.8,4.4,24.4,9.6,7.8,3.2,7.6,0.2,0.4,237.4,0.0,2.2,1.0,1.2,2.8,0.2,2.0,5.0,322.06,62.0,2154.0,5.0,23.0,505.0
25120,6.0,70.52333333333333,10.833333333333334,2.0,8.833333333333334,4.166666666666667,2.6666666666666665,2.0,2.0,0.0,0.0,79.83333333333333,0.0,0.1666666666666666,0.6666666666666666,0.5,1.6666666666666667,0.3333333333333333,26.0,6.0,423.14,42.0,1014.0,6.0,15.0,161.0
25121,4.0,11.75,1.0,0.0,1.0,0.0,0.25,0.5,0.25,0.0,0.0,1.75,0.0,0.0,0.0,0.0,0.25,0.0,0.0,4.0,47.0,2.0,6.0,2.0,0.0,1.0
25122,2.0,0.0,3.5,0.5,3.0,2.0,0.5,0.5,0.5,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,4.0,36.0,1.0,0.0,24.0
25123,4.0,69.805,32.25,14.5,17.75,10.0,8.25,6.25,7.25,0.5,0.0,148.75,0.0,10.0,1.0,0.0,4.5,0.5,39.25,4.0,279.22,71.0,1138.0,6.0,9.0,97.0
25124,3.0,69.36666666666667,23.33333333333333,8.0,15.333333333333334,10.0,6.666666666666667,3.333333333333333,3.0,0.3333333333333333,0.0,222.66666666666663,0.0,0.0,2.6666666666666665,0.3333333333333333,0.3333333333333333,0.0,0.0,3.0,208.1,51.0,979.0,4.0,2.0,211.0
25125,3.0,76.3,42.0,12.333333333333334,29.666666666666668,14.666666666666666,8.666666666666666,10.666666666666666,6.333333333333333,1.3333333333333333,0.3333333333333333,253.0,0.0,0.3333333333333333,3.0,0.0,0.0,0.0,0.0,3.0,228.9,61.0,1355.0,3.0,2.0,284.0
25126,3.0,52.833333333333336,17.666666666666668,12.666666666666666,5.0,7.666666666666667,4.666666666666667,2.0,3.0,0.3333333333333333,0.0,59.333333333333336,0.0,1.3333333333333333,2.333333333333333,0.0,0.0,0.0,0.0,3.0,158.5,30.0,380.0,2.0,0.0,77.0
